date,strategy_ret,regime,SPY_w,TLT_w,GLD_w
2007-02-02,-0.0003053570120822712,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-05,0.0008961887722419829,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-06,0.0038491890353987415,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-07,0.002139497529063284,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-08,0.0013680533251663033,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-09,-0.004807861143614473,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-12,-0.0031444182279218775,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-13,0.0020311598755506943,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-14,0.008292353093920457,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-15,0.0021303468963414815,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-16,0.0016673489977249883,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-20,0.000351644839659181,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-21,0.0020697626732260597,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-22,-0.0035323753822453347,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-23,0.0033711973447491895,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-26,0.003870657080843388,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-27,-0.011272741654784946,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-02-28,0.0027658543133830824,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-01,-0.0024148765182229726,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-02,-0.005230510506345442,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-05,-0.0037144160195591324,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-06,0.006292983410409213,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-07,0.0020037612391265816,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-08,0.0027646380943893547,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-09,-0.00603736961630729,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-12,0.002848713918620046,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-13,-0.0046652319193251105,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-14,0.0004783284304935864,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-15,0.0004828012685491486,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-16,-9.325990252001975e-05,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-19,0.0032499849024499854,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-20,0.0030631344990824133,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-21,0.006843411257789033,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
2007-03-22,-0.004700814176017396,1,0.35188156645652846,0.5461161626112233,0.10200227093224833
