date,SPY_w,TLT_w,GLD_w,regime
2006-01-04,0.25432662821313473,0.012810332441820541,0.7328630393450447,0
2006-01-05,0.25432662821313473,0.012810332441820541,0.7328630393450447,0
2006-01-06,0.25432662821313473,0.012810332441820541,0.7328630393450447,0
2006-01-09,0.25432662821313473,0.012810332441820541,0.7328630393450447,0
2006-01-10,0.25432662821313473,0.012810332441820541,0.7328630393450447,0
2006-01-11,0.31351197992356616,1.1835423462257647e-07,0.6864879017221992,0
2006-01-12,0.31351197992356616,1.1835423462257647e-07,0.6864879017221992,0
2006-01-13,0.31351197992356616,1.1835423462257647e-07,0.6864879017221992,0
2006-01-17,0.31351197992356616,1.1835423462257647e-07,0.6864879017221992,0
2006-01-18,0.31351197992356616,1.1835423462257647e-07,0.6864879017221992,0
2006-01-19,0.27091390848262276,0.043464655377391796,0.6856214361399855,0
2006-01-20,0.27091390848262276,0.043464655377391796,0.6856214361399855,0
2006-01-23,0.27091390848262276,0.043464655377391796,0.6856214361399855,0
2006-01-24,0.27091390848262276,0.043464655377391796,0.6856214361399855,0
2006-01-25,0.27091390848262276,0.043464655377391796,0.6856214361399855,0
2006-01-26,0.18817748880859583,2.997105012455016e-08,0.811822481220354,0
2006-01-27,0.18817748880859583,2.997105012455016e-08,0.811822481220354,0
2006-01-30,0.18817748880859583,2.997105012455016e-08,0.811822481220354,0
2006-01-31,0.18817748880859583,2.997105012455016e-08,0.811822481220354,0
2006-02-01,0.18817748880859583,2.997105012455016e-08,0.811822481220354,0
2006-02-02,0.21346313157603847,8.735224618240784e-09,0.786536859688737,0
2006-02-03,0.21346313157603847,8.735224618240784e-09,0.786536859688737,0
2006-02-06,0.21346313157603847,8.735224618240784e-09,0.786536859688737,0
2006-02-07,0.21346313157603847,8.735224618240784e-09,0.786536859688737,0
2006-02-08,0.21346313157603847,8.735224618240784e-09,0.786536859688737,0
2006-02-09,0.07904323215257034,2.8849690456904435e-09,0.9209567649624606,0
2006-02-10,0.07904323215257034,2.8849690456904435e-09,0.9209567649624606,0
2006-02-13,0.07904323215257034,2.8849690456904435e-09,0.9209567649624606,0
2006-02-14,0.07904323215257034,2.8849690456904435e-09,0.9209567649624606,0
2006-02-15,0.07904323215257034,2.8849690456904435e-09,0.9209567649624606,0
2006-02-16,0.18449953148051554,7.008647319951284e-09,0.8155004615108371,0
2006-02-17,0.18449953148051554,7.008647319951284e-09,0.8155004615108371,0
2006-02-21,0.18449953148051554,7.008647319951284e-09,0.8155004615108371,0
2006-02-22,0.18449953148051554,7.008647319951284e-09,0.8155004615108371,0
2006-02-23,0.18449953148051554,7.008647319951284e-09,0.8155004615108371,0
2006-02-24,0.3043917825597146,0.00504068206623122,0.6905675353740542,0
2006-02-27,0.3043917825597146,0.00504068206623122,0.6905675353740542,0
2006-02-28,0.3043917825597146,0.00504068206623122,0.6905675353740542,0
