Date,SPY_price,TLT_price,GLD_price
2005-01-03,81.38374328613281,44.39643096923828,43.02000045776367
2005-01-04,80.38927459716797,43.931209564208984,42.7400016784668
2005-01-05,79.83451080322266,44.166351318359375,42.66999816894531
2005-01-06,80.24041748046875,44.19638442993164,42.150001525878906
2005-01-07,80.12541198730469,44.296409606933594,41.84000015258789
2005-01-10,80.50428771972656,44.366451263427734,41.95000076293945
2005-01-11,79.94954681396484,44.626583099365234,42.209999084472656
2005-01-12,80.21337890625,44.68663024902344,42.599998474121094
2005-01-13,79.57069396972656,45.116920471191406,42.599998474121094
2005-01-14,79.99010467529297,45.1119270324707,42.31999969482422
2005-01-18,80.82221984863281,45.26203918457031,42.31999969482422
2005-01-19,79.97657775878906,45.39209747314453,42.2599983215332
2005-01-20,79.48948669433594,45.48209762573242,42.25
2005-01-21,79.00244140625,45.53213882446289,42.7400016784668
2005-01-24,78.8468246459961,45.727272033691406,42.77000045776367
2005-01-25,79.07005310058594,45.2969856262207,42.2400016784668
2005-01-26,79.30687713623047,45.382110595703125,42.689998626708984
2005-01-27,79.44214630126953,45.2969856262207,42.619998931884766
2005-01-28,79.44214630126953,45.75229263305664,42.689998626708984
2005-01-31,79.93599700927734,45.882354736328125,42.220001220703125
2005-02-01,80.44340515136719,45.809566497802734,42.099998474121094
2005-02-02,80.68693542480469,45.915035247802734,42.15999984741211
2005-02-03,80.47720336914062,45.88991928100586,41.68000030517578
2005-02-04,81.33636474609375,46.52769470214844,41.470001220703125
2005-02-07,81.22811126708984,46.87417984008789,41.27000045776367
2005-02-08,81.32282257080078,47.140323638916016,41.2599983215332
2005-02-09,80.71395111083984,47.26592254638672,41.310001373291016
2005-02-10,81.00485229492188,46.628074645996094,41.75
2005-02-11,81.7016830444336,46.59799575805664,42.08000183105469
2005-02-14,81.64081573486328,46.74361038208008,42.54999923706055
2005-02-15,81.94522857666016,46.507598876953125,42.58000183105469
2005-02-16,81.99934387207031,46.33182144165039,42.52000045776367
2005-02-17,81.33636474609375,46.04055404663086,42.72999954223633
2005-02-18,81.44462585449219,45.628787994384766,42.75
2005-02-22,80.2336654663086,45.42791748046875,43.56999969482422
2005-02-23,80.8086929321289,45.57857131958008,43.41999816894531
2005-02-24,81.3431396484375,45.47810745239258,43.33000183105469
2005-02-25,82.14817810058594,45.699134826660156,43.5
2005-02-28,81.60699462890625,45.206939697265625,43.529998779296875
2005-03-01,82.0129165649414,45.192848205566406,43.220001220703125
2005-03-02,81.97225952148438,45.132362365722656,43.25
2005-03-03,82.0061264038086,45.107208251953125,42.970001220703125
2005-03-04,83.02764129638672,45.59584426879883,43.380001068115234
2005-03-07,83.0682144165039,45.7772216796875,43.470001220703125
2005-03-08,82.75701141357422,45.343963623046875,44.029998779296875
2005-03-09,81.83702087402344,44.603424072265625,44.02000045776367
2005-03-10,82.01962280273438,44.87545394897461,44.20000076293945
2005-03-11,81.44462585449219,44.54798126220703,44.43000030517578
2005-03-14,81.95197296142578,44.81499099731445,44.029998779296875
2005-03-15,81.27552032470703,44.53289031982422,44.060001373291016
2005-03-16,80.58544158935547,44.80495071411133,44.310001373291016
2005-03-17,80.74783325195312,44.95100784301758,43.81999969482422
2005-03-18,80.50804901123047,44.66889572143555,43.88999938964844
2005-03-21,80.20923614501953,44.542972564697266,43.09000015258789
2005-03-22,79.39424896240234,44.165157318115234,42.650001525878906
2005-03-23,79.46211242675781,44.376712799072266,42.41999816894531
2005-03-24,79.55722045898438,44.4673957824707,42.38999938964844
2005-03-28,79.67269897460938,44.19535827636719,42.540000915527344
2005-03-29,79.1429672241211,44.45732498168945,42.560001373291016
2005-03-30,80.26356506347656,44.678977966308594,42.61000061035156
2005-03-31,80.11415100097656,45.001399993896484,42.81999969482422
2005-04-01,79.75421142578125,45.1530876159668,42.619998931884766
2005-04-04,79.89000701904297,45.14296340942383,42.400001525878906
2005-04-05,80.27037811279297,45.026668548583984,42.45000076293945
2005-04-06,80.54879760742188,45.183441162109375,42.630001068115234
2005-04-07,80.98346710205078,44.81941604614258,42.56999969482422
2005-04-08,80.14131927490234,44.97611618041992,42.689998626708984
2005-04-11,80.20244598388672,45.218807220458984,42.779998779296875
2005-04-12,80.61673736572266,45.638492584228516,42.84000015258789
2005-04-13,79.66590118408203,45.52725601196289,42.900001525878906
2005-04-14,78.62678527832031,45.45646667480469,42.310001373291016
2005-04-15,77.52653503417969,46.05815887451172,42.400001525878906
2005-04-18,77.76422882080078,46.02273941040039,42.689998626708984
2005-04-19,78.3823013305664,46.46771240234375,43.279998779296875
2005-04-20,77.28883361816406,46.35143280029297,43.400001525878906
2005-04-21,78.78977966308594,45.86601257324219,43.189998626708984
2005-04-22,78.49095153808594,46.250308990478516,43.38999938964844
2005-04-25,79.00708770751953,46.3868522644043,43.439998626708984
2005-04-26,78.2396240234375,46.3160514831543,43.63999938964844
2005-04-27,78.54528045654297,46.477874755859375,43.20000076293945
2005-04-28,77.5604476928711,46.82166290283203,43.0
